Province,tot_confirmed,change_confirmed,tot_recoveries,change_recoveries,tot_deaths,change_deaths,tot_active,change_active
Eastern Cape,194903,9,183374,12,11347,6,182,-9
Free State,82308,67,76941,0,3575,11,1792,56
Gauteng,411777,176,399289,279,10142,4,2346,-107
KwaZulu-Natal,333122,101,317204,528,10133,5,5785,-432
Limpopo,62921,10,60102,0,2083,0,736,10
Mpumalanga,73929,26,71709,131,1334,0,886,-105
Northern Cape,35670,20,32259,61,794,0,2617,-41
North West,62970,47,59245,0,1413,25,2312,22
Western Cape,281361,54,265081,240,11430,4,4850,-190
Unknown,0,0,0,0,0,0,0,0
Total,1538961,510,1465204,1251,52251,55,21506,-796
