date,confirmed,confirmed_rol_avg_3,confirmed_rol_avg_7,tests,tests_rol_avg_3,tests_rol_avg_7,deaths,deaths_rol_avg_3,deaths_rol_avg_7,recovered,recovered_rol_avg_3,recovered_rol_avg_7,active,active_rol_avg_3,active_rol_avg_7
2020-02-11,,,,61.0,,,,,,,,,,,
2020-02-13,,,,6.0,,,,,,,,,,,
2020-02-14,,,,4.0,24.0,,,,,,,,,,
2020-02-19,,,,24.0,11.0,,,,,,,,,,
2020-02-20,,,,11.0,13.0,,,,,,,,,,
2020-02-24,,,,10.0,15.0,,,,,,,,,,
2020-02-26,,,,5.0,9.0,17.0,,,,,,,,,
2020-03-02,,,,39.0,18.0,14.0,,,,,,,,,
2020-03-03,,,,4.0,16.0,14.0,,,,,,,,,
2020-03-05,1.0,,,,,,,,,,,,,,
2020-03-06,,,,36.0,26.0,18.0,,,,,,,,,
2020-03-07,1.0,,,41.0,27.0,21.0,,,,,,,,,
2020-03-08,1.0,1.0,,,,,,,,,,,,,
2020-03-09,4.0,2.0,,,,,,,,,,,,,
2020-03-11,6.0,4.0,,404.0,160.0,77.0,,,,,,,,,
2020-03-12,3.0,4.0,,203.0,216.0,105.0,,,,,,,,,
2020-03-13,8.0,6.0,3.0,76.0,228.0,115.0,,,,,,,,,
2020-03-14,14.0,8.0,5.0,93.0,124.0,122.0,,,,,,,,,
2020-03-15,13.0,12.0,7.0,459.0,209.0,187.0,,,,,,,,,
2020-03-16,11.0,13.0,8.0,929.0,494.0,315.0,,,,,,,62.0,,
2020-03-17,23.0,16.0,11.0,506.0,631.0,381.0,,,,,,,23.0,,
2020-03-18,31.0,22.0,15.0,159.0,531.0,346.0,,,,,,,31.0,38.666666666666664,
2020-03-19,34.0,29.0,19.0,1762.0,809.0,569.0,,,,,,,34.0,29.333333333333332,
2020-03-20,52.0,39.0,25.0,1606.0,1176.0,788.0,,,,,,,52.0,39.0,
2020-03-21,38.0,41.0,29.0,987.0,1452.0,915.0,,,,,,,38.0,41.333333333333336,
2020-03-22,34.0,41.0,32.0,1890.0,1494.0,1120.0,,,,,,,34.0,41.333333333333336,39.142857142857146
2020-03-23,128.0,67.0,49.0,3500.0,2126.0,1487.0,,,,,,,128.0,66.66666666666667,48.57142857142857
2020-03-24,152.0,105.0,67.0,2714.0,2701.0,1803.0,,,,,,,152.0,104.66666666666667,67.0
2020-03-25,155.0,145.0,85.0,0.0,2071.0,1780.0,,,,,,,155.0,145.0,84.71428571428571
2020-03-26,218.0,175.0,111.0,4942.0,2552.0,2234.0,,,,,,,218.0,175.0,111.0
2020-03-27,243.0,205.0,138.0,8066.0,4336.0,3157.0,1.0,,,,,,242.0,205.0,138.14285714285714
