date,EC,FS,GP,KZN,LP,MP,NC,NW,UNKNOWN,WC,YYYYMMDD,source,total
05-03-2020,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20200305,,1.0
07-03-2020,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20200307,,2.0
08-03-2020,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20200308,,3.0
09-03-2020,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,20200309,,7.0
11-03-2020,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,20200311,,13.0
12-03-2020,0.0,0.0,6.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,20200312,,16.0
13-03-2020,0.0,0.0,10.0,10.0,0.0,1.0,0.0,0.0,0.0,3.0,20200313,,24.0
14-03-2020,0.0,0.0,17.0,11.0,0.0,1.0,0.0,0.0,0.0,9.0,20200314,,38.0
15-03-2020,0.0,0.0,24.0,12.0,0.0,1.0,0.0,0.0,0.0,14.0,20200315,,51.0
16-03-2020,0.0,0.0,31.0,12.0,1.0,2.0,0.0,0.0,0.0,16.0,20200316,,62.0
17-03-2020,0.0,0.0,45.0,16.0,1.0,2.0,0.0,0.0,0.0,21.0,20200317,,85.0
18-03-2020,0.0,0.0,61.0,19.0,1.0,4.0,0.0,0.0,0.0,31.0,20200318,,116.0
19-03-2020,0.0,0.0,76.0,22.0,1.0,5.0,0.0,0.0,0.0,46.0,20200319,,150.0
20-03-2020,0.0,7.0,109.0,23.0,1.0,5.0,0.0,0.0,0.0,57.0,20200320,,202.0
21-03-2020,1.0,7.0,125.0,26.0,1.0,5.0,0.0,0.0,0.0,75.0,20200321,,240.0
22-03-2020,2.0,9.0,132.0,35.0,2.0,5.0,0.0,0.0,0.0,89.0,20200322,,274.0
23-03-2020,2.0,13.0,207.0,60.0,4.0,9.0,2.0,4.0,1.0,100.0,20200323,,402.0
24-03-2020,2.0,18.0,302.0,80.0,4.0,9.0,2.0,5.0,19.0,113.0,20200324,,554.0
25-03-2020,2.0,30.0,319.0,91.0,4.0,8.0,2.0,5.0,65.0,183.0,20200325,,709.0
26-03-2020,5.0,49.0,409.0,134.0,6.0,9.0,2.0,5.0,79.0,229.0,20200326,,927.0
27-03-2020,,,,,,,,,,,20200327,,1170.0
28-03-2020,10.0,68.0,533.0,156.0,11.0,10.0,5.0,6.0,117.0,271.0,20200328,,1187.0
29-03-2020,12.0,72.0,584.0,167.0,12.0,11.0,6.0,6.0,100.0,310.0,20200329,,1280.0
30-03-2020,12.0,72.0,618.0,171.0,11.0,11.0,3.0,8.0,96.0,324.0,20200330,,1326.0
31-03-2020,12.0,74.0,633.0,179.0,14.0,12.0,6.0,8.0,90.0,325.0,20200331,,1353.0
01-04-2020,15.0,76.0,645.0,186.0,14.0,12.0,7.0,9.0,90.0,326.0,20200401,,1380.0
02-04-2020,17.0,84.0,663.0,206.0,16.0,13.0,7.0,9.0,94.0,353.0,20200402,,1462.0
03-04-2020,21.0,84.0,672.0,215.0,16.0,13.0,7.0,9.0,94.0,374.0,20200403,,1505.0
04-04-2020,25.0,85.0,693.0,232.0,18.0,18.0,7.0,11.0,63.0,433.0,20200404,,1585.0
05-04-2020,31.0,87.0,704.0,246.0,19.0,18.0,8.0,11.0,77.0,454.0,20200405,,1655.0
06-04-2020,32.0,89.0,713.0,257.0,19.0,18.0,8.0,11.0,77.0,462.0,20200406,,1686.0
07-04-2020,,,,,,,,,,,20200407,,1749.0
08-04-2020,45.0,88.0,782.0,354.0,21.0,21.0,13.0,15.0,11.0,495.0,20200408,,1845.0
09-04-2020,61.0,93.0,795.0,387.0,22.0,20.0,15.0,15.0,11.0,515.0,20200409,,1934.0
