date,EC,FS,GP,KZN,LP,MP,NC,NW,UNKNOWN,WC,YYYYMMDD,source,total
27-03-2020,0,0,0,0,0,0,0,0,0.0,1,20200327,https://sacoronavirus.co.za/2020/03/27/latest-confirmed-cases-of-covid-19-27th-march-2020/,1
28-03-2020,0,0,0,1,0,0,0,0,0.0,1,20200328,,2
30-03-2020,0,1,0,1,0,0,0,0,0.0,1,20200330,,3
31-03-2020,0,1,1,2,0,0,0,0,0.0,1,20200331,,5
03-04-2020,0,1,1,6,0,0,0,0,0.0,1,20200403,,9
05-04-2020,0,1,1,7,0,0,0,0,0.0,2,20200405,,11
06-04-2020,0,1,1,7,0,0,0,0,0.0,3,20200406,,12
07-04-2020,0,1,1,8,0,0,0,0,0.0,3,20200407,,13
08-04-2020,0,3,3,9,0,0,0,0,0.0,3,20200408,https://twitter.com/nicd_sa/status/1247960492389384193,18
09-04-2020,0,3,3,9,0,0,0,0,0.0,3,20200409,https://twitter.com/nicd_sa/status/1248337962934456329,18
10-04-2020,0,3,3,12,0,0,0,0,0.0,6,20200410,https://twitter.com/nicd_sa/status/1248595396613505026,24
11-04-2020,0,3,3,12,0,0,0,0,0.0,7,20200411,https://twitter.com/nicd_sa/status/1249028791642525698,25
12-04-2020,0,3,3,12,0,0,0,0,0.0,7,20200412,https://twitter.com/nicd_sa/status/1249388456427630593,25
13-04-2020,0,3,4,12,0,0,0,0,0.0,8,20200413,https://twitter.com/nicd_sa/status/1249759650804883459,27
14-04-2020,0,3,4,12,0,0,0,0,0.0,8,20200414,https://twitter.com/nicd_sa/status/1250055302340382724,27
15-04-2020,0,3,5,18,0,0,0,0,0.0,8,20200415,https://twitter.com/nicd_sa/status/1250476654432002048,34
16-04-2020,4,4,6,20,1,0,0,0,0.0,13,20200416,https://twitter.com/nicd_sa/status/1250865343976931328,48
17-04-2020,4,4,6,20,1,0,0,0,0.0,15,20200417,https://twitter.com/nicd_sa/status/1251215194765832194,50
18-04-2020,4,4,6,21,1,0,0,0,0.0,16,20200418,https://twitter.com/nicd_sa/status/1251595223534362625,52
19-04-2020,4,4,6,22,1,0,0,0,0.0,17,20200419,https://twitter.com/nicd_sa/status/1251927055224143875,54
20-04-2020,5,5,7,23,1,0,0,0,0.0,17,20200420,https://twitter.com/nicd_sa/status/1252309824412561408,58
21-04-2020,5,5,7,23,1,0,0,0,0.0,17,20200421,https://twitter.com/nicd_sa/status/1252643555690061824,58
22-04-2020,5,5,7,25,1,0,0,0,0.0,22,20200422,https://twitter.com/nicd_sa/status/1253033502930604032,65
23-04-2020,6,5,8,27,1,0,0,0,0.0,28,20200423,https://twitter.com/nicd_sa/status/1253374043111272450,75
24-04-2020,6,5,8,29,1,0,0,0,0.0,30,20200424,https://twitter.com/nicd_sa/status/1253769210301427713,79
