date,EC,FS,GP,KZN,LP,MP,NC,NW,UNKNOWN,WC,YYYYMMDD,source,total
17-04-2020,9,71,479.0,96,18,9,10,6,0.0,205,20200417,https://twitter.com/nicd_sa/status/1251215194765832194/photo/1,903.0
18-04-2020,9,71,479.0,96,18,9,10,6,0.0,205,20200418,https://twitter.com/nicd_sa/status/1251595223534362625/photo/1,903.0
19-04-2020,9,71,479.0,96,18,9,10,6,0.0,205,20200419,https://twitter.com/nicd_sa/status/1251927055224143875/photo/1,903.0
20-04-2020,15,74,545.0,151,21,14,13,6,0.0,216,20200420,https://twitter.com/nicd_sa/status/1252309824412561408/photo/1,1055.0
21-04-2020,15,74,545.0,151,21,14,13,6,0.0,216,20200421,https://twitter.com/nicd_sa/status/1252643555690061824/photo/1,1055.0
22-04-2020,15,74,545.0,151,21,14,13,6,0.0,216,20200422,https://twitter.com/nicd_sa/status/1253033502930604032/photo/1,1055.0
23-04-2020,19,76,843.0,241,24,15,13,6,0.0,236,20200423,https://twitter.com/nicd_sa/status/1253374043111272450/photo/1,1473.0
24-04-2020,19,76,843.0,241,24,15,13,6,0.0,236,20200424,https://twitter.com/nicd_sa/status/1253769210301427713/photo/1,1473.0
25-04-2020,19,76,843.0,241,24,15,13,6,0.0,236,20200425,https://twitter.com/nicd_sa/status/1254115548125900800/photo/1,1473.0
26-04-2020,19,76,843.0,241,24,15,13,6,0.0,236,20200426,https://twitter.com/nicd_sa/status/1254483257514692610/photo/1,1473.0
27-04-2020,19,76,843.0,241,24,15,13,6,0.0,236,20200427,https://twitter.com/nicd_sa/status/1254860200126738432/photo/1,1473.0
28-04-2020,19,76,843.0,241,24,15,13,6,0.0,236,20200428,https://twitter.com/nicd_sa/status/1255208067551170564/photo/1,1473.0
02-05-2020,275,96,948.0,375,25,18,20,13,0.0,779,20200502,https://twitter.com/nicd_sa/status/1256648954743345152/photo/1,2549.0
03-05-2020,275,96,948.0,375,25,18,20,13,0.0,779,20200503,https://twitter.com/nicd_sa/status/1257006165889880069/photo/1,2549.0
04-05-2020,341,96,979.0,415,27,22,20,13,0.0,833,20200504,https://twitter.com/nicd_sa/status/1257381526964187137/photo/1,2746.0
05-05-2020,341,96,979.0,415,27,22,20,13,0.0,833,20200505,https://twitter.com/nicd_sa/status/1257760876435734528/photo/1,2746.0
06-05-2020,388,102,1036.0,420,27,22,20,16,0.0,1122,20200506,https://twitter.com/nicd_sa/status/1258133447106801666/photo/1,3153.0
07-05-2020,388,102,1036.0,420,27,22,20,16,0.0,1122,20200507,https://twitter.com/nicd_sa/status/1258467153717714947/photo/1,3153.0
08-05-2020,388,102,1036.0,420,27,22,20,16,0.0,1122,20200508,https://twitter.com/nicd_sa/status/1258851899979239424/photo/1,3153.0
10-05-2020,519,105,1247.0,606,28,22,23,16,0.0,1607,20200510,https://twitter.com/nicd_sa/status/1259559705581625345/photo/1,4173.0
13-05-2020,632,107,1343.0,618,30,24,24,17,0.0,1950,20200513,https://twitter.com/nicd_sa/status/1260674090282684417/photo/1,4745.0
14-05-2020,643,108,1547.0,689,35,34,28,19,0.0,2573,20200514,https://twitter.com/nicd_sa/status/1260981356328337414/photo/1,5676.0
15-05-2020,643,108,1552.0,795,36,44,20,28,0.0,2857,20200515,https://twitter.com/nicd_sa/status/1261360621804806145/photo/1,6083.0
16-05-2020,746,108,1583.0,806,37,49,24,28,0.0,3097,20200516,https://twitter.com/nicd_sa/status/1261738963716489219/photo/1,6478.0
17-05-2020,839,108,1583.0,817,37,49,24,28,0.0,3521,20200517,https://twitter.com/nicd_sa/status/1262110389111791617/photo/1,7006.0
18-05-2020,839,108,1657.0,818,37,53,27,28,0.0,3731,20200518,https://twitter.com/nicd_sa/status/1262476267405946883/photo/1,7298.0
19-05-2020,839,118,1671.0,818,39,57,27,28,0.0,4363,20200519,https://twitter.com/nicd_sa/status/1262827841550528517/photo/1,7960.0
20-05-2020,1036,118,1694.0,842,42,58,27,28,0.0,5105,20200520,https://twitter.com/nicd_sa/status/1263182934594420736/photo/1,8950.0
21-05-2020,1036,118,1694.0,842,42,58,27,28,0.0,5105,20200521,https://twitter.com/nicd_sa/status/1263466016874680322/photo/1,8950.0
22-05-2020,1036,121,1776.0,880,51,58,27,29,0.0,6126,20200522,https://twitter.com/nicd_sa/status/1263892865769504768/photo/1,10104.0
23-05-2020,1036,121,1776.0,880,51,58,27,29,0.0,6126,20200523,https://twitter.com/nicd_sa/status/1264277822891327489/photo/1,10104.0
24-05-2020,1335,121,1840.0,1111,53,58,28,29,0.0,6525,20200524,https://twitter.com/nicd_sa/status/1264637660045377540/photo/1,11100.0
25-05-2020,1335,121,1899.0,1168,55,61,28,29,0.0,7221,20200525,https://twitter.com/nicd_sa/status/1265002094299426817/photo/1,11917.0
26-05-2020,1491,123,1919.0,1180,65,61,29,29,0.0,7844,20200526,https://twitter.com/nicd_sa/status/1265381678001913857/photo/1,12741.0
27-05-2020,1491,123,1955.0,1180,67,62,30,39,0.0,8504,20200527,https://twitter.com/nicd_sa/status/1265738793904201728/photo/1,13451.0
28-05-2020,1700,123,1993.0,1180,75,67,30,45,0.0,9157,20200528,https://twitter.com/nicd_sa/status/1266132429858918400/photo/1,14370.0
29-05-2020,1700,124,2019.0,1180,97,67,31,45,0.0,9830,20200529,https://twitter.com/nicd_sa/status/1266458332031848459/photo/1,15093.0
30-05-2020,1987,123,2035.0,1180,140,67,31,45,0.0,10508,20200530,https://twitter.com/nicd_sa/status/1266797798369964034/photo/1,16116.0
31-05-2020,1987,124,2060.0,1248,143,72,31,45,0.0,11099,20200531,https://twitter.com/nicd_sa/status/1267168836924641281/photo/1,16809.0
01-06-2020,2123,123,2060.0,1248,144,86,31,45,0.0,11431,20200601,https://twitter.com/nicd_sa/status/1267462844578226178/photo/1,17291.0
02-06-2020,2123,123,2060.0,1248,145,86,33,59,0.0,12436,20200602,https://twitter.com/nicd_sa/status/1267904171778412545/photo/1,18313.0
03-06-2020,2123,123,2169.0,1248,145,86,33,59,0.0,13696,20200603,https://twitter.com/nicd_sa/status/1268264707401662464/photo/1,19682.0
04-06-2020,2460,128,2222.0,1260,146,86,33,59,0.0,14917,20200604,https://twitter.com/nicd_sa/status/1268630460286087175/photo/1,21311.0
05-06-2020,2460,123,2344.0,1378,149,94,34,73,0.0,16433,20200605,https://twitter.com/nicd_sa/status/1268987910034001924/photo/1,23088.0
06-06-2020,2666,152,2344.0,1378,158,94,38,73,0.0,17355,20200606,https://twitter.com/nicd_sa/status/1269362848700010500/photo/1,24258.0
07-06-2020,2666,152,2428.0,1378,158,102,41,73,0.0,17366,20200607,https://twitter.com/nicd_sa/status/1269717709786427393/photo/1,24364.0
